review_text,review_star
I purchased in August month. That time it was good phone. Now there is so many options.,4.0 out of 5 stars
Very good mobile,4.0 out of 5 stars
This phone for the price is very good,5.0 out of 5 stars
good product,4.0 out of 5 stars
I like this product because this phone is battery nice Backup hour.,5.0 out of 5 stars
Camera quality is poor,4.0 out of 5 stars
I will recommend u to buy it on offers time Good engh for photo and battery,4.0 out of 5 stars
Great phone,5.0 out of 5 stars
Average mobile,3.0 out of 5 stars
Good phone battery is a very good,3.0 out of 5 stars
I dnt lyk d product... No camera Clarity,1.0 out of 5 stars
Very very good,5.0 out of 5 stars
Worth the money,5.0 out of 5 stars
Nice,5.0 out of 5 stars
Pixels,4.0 out of 5 stars
Very good,5.0 out of 5 stars
Good,4.0 out of 5 stars
Very nice phone.. battery backup best... picture quality best...slim portable handset..,5.0 out of 5 stars
Its not the best but u cant have not better than these in these range,3.0 out of 5 stars
Very much happy with it,5.0 out of 5 stars
Very good product,5.0 out of 5 stars
Only thing missing is finger print sensor.,5.0 out of 5 stars
Nice Mobile . Got it for exchange.,5.0 out of 5 stars
Good,4.0 out of 5 stars
Didn't receive a headset,3.0 out of 5 stars
"I like the camera ,display and  touch is also nice",5.0 out of 5 stars
display touch and its quality is poor,3.0 out of 5 stars
Cost can be slightly less,5.0 out of 5 stars
Good Mobile at this value,4.0 out of 5 stars
"One most important thing missing is ""clone app"" feature",4.0 out of 5 stars
Good,5.0 out of 5 stars
Nice,5.0 out of 5 stars
good product in this price,5.0 out of 5 stars
No problem,1.0 out of 5 stars
Great phone I bought it approx rupees 5000 by exchange my old micromax phone it's great deal for me...,4.0 out of 5 stars
Nies,5.0 out of 5 stars
sound quality is too worst and poor than expected...it is not working atall....please do work on that,1.0 out of 5 stars
Overall okay. But hate the color os,4.0 out of 5 stars
Nice looking,4.0 out of 5 stars
Everything is good but in this price range now we can get many other better options.,4.0 out of 5 stars
The battery life is too good .....Cam is ok...,5.0 out of 5 stars
Not nice photo clarity,2.0 out of 5 stars
Gr8,5.0 out of 5 stars
Best mobile under 15000 only one default there is no fingerprint sensor but good face recombination,5.0 out of 5 stars
Nice and very good product.,4.0 out of 5 stars
