review_text,review_star
Me parece un buen articulo en perfectas condiciones,5.0 out of 5 stars
I like and will purchase again.  Thank you,4.0 out of 5 stars
I was skeptical with this purchase but the phone came looking like new and worked perfectly.,5.0 out of 5 stars
Horrible BEWARE !!,1.0 out of 5 stars
"A great buy, Very greatful.",5.0 out of 5 stars
The microphone on mine isn’t all that good and the battery drains very fast.,3.0 out of 5 stars
Not recommended,1.0 out of 5 stars
Awesome phone. No problems whatsoever and it looks brand new.,5.0 out of 5 stars
Awesome I've had it for about a month it didn't cause a problem at all!!!,5.0 out of 5 stars
Too good like new,5.0 out of 5 stars
The phone doesn't have any scratches or scuffs. Only downfall is battery life. The battery doesnt last long at all,4.0 out of 5 stars
Great deal phone looks and works like new,5.0 out of 5 stars
buy 3 iphone 6s plus gold and I received 3 6s pink,1.0 out of 5 stars
Omg! I love it!!!,5.0 out of 5 stars
I’ve had this phone for a year and I still love it .,5.0 out of 5 stars
much better than expected. And many thanks to the consumer service's kind help.,5.0 out of 5 stars
Amazing performance and just like new!!,5.0 out of 5 stars
Looks brand new absolutely no scratches or anything thank you ❤️,5.0 out of 5 stars
"Came in as expected, worked perfectly, nothing wrong with it, just few minor scratches on the body of the phone not screen",4.0 out of 5 stars
Great refurbished phone. Minor appearance defects like small scratches on screen and back but it is unnoticeable without looking closely. Performs great,5.0 out of 5 stars
Great phone. It shipped quickly. Packaged well and was exactly as described.,5.0 out of 5 stars
The phone was good. But i disnt expected that there will be no handsfree and the charger and charging cable wil from any non branded vendor.,4.0 out of 5 stars
As described and delivered on time.  Thank you!,5.0 out of 5 stars
I didn't receive the iPhone 6S PLUS but instead received the IPhone 6 PLUS. Returned it but other than that ok,3.0 out of 5 stars
"great phone 😊 This what I wanted , works like new . Would order again if I need too ‼️ Thank you .",5.0 out of 5 stars
"Exactly as described, would buy from again.",5.0 out of 5 stars
Perfesc,5.0 out of 5 stars
"Quite good,I like it,was in new condition",5.0 out of 5 stars
Absolutely love it! Like new phone! Highly recommended.,5.0 out of 5 stars
"I received the product and really it's very good, It's unlocked and is working in Venezuela without problems.",5.0 out of 5 stars
Arrived today looks and works brand new!,5.0 out of 5 stars
"I got this phone yesterday. Just as description from Kanga Supply. It looks Brand New, everything is fully functional.",5.0 out of 5 stars
A few starches on the corners. Besides that the phone is Excellent . No complaints at all,5.0 out of 5 stars
It looks brand new Love it❤️❤️❤️❤️,5.0 out of 5 stars
Just got the phone today an the speaker sounded as it was blown but still an awesome phone no scratches or nothing just the speaker,2.0 out of 5 stars
This iPhone arrived on time and in very nice condition.  Jury is out on the battery life going from fully charged this morning down to 16 per cent by late afternoon.  I'm not sure what battery life to expect.  Phone was unlocked and easy to set up at the ATT center.  All is working fine thus far. Larger face works well for my aging eyes and arthritic fingers.,5.0 out of 5 stars
Excellent,5.0 out of 5 stars
Excellent,5.0 out of 5 stars
Worth it.,5.0 out of 5 stars
I totally loved my iPhone 6s Plus.. It was in great condition!,5.0 out of 5 stars
Had it for a month now in LOVE I love my iPhone so much fast delivery too!,5.0 out of 5 stars
The IPhone fully meets with my expectations,5.0 out of 5 stars
Good quality,5.0 out of 5 stars
Phone works great! Called metro and they transfered my service in under 5 minutes thanks!!,5.0 out of 5 stars
Worked perfectly fine.Absolutely no problems,5.0 out of 5 stars
Gave me the wrong amount of Gb,1.0 out of 5 stars
Great phone! Looks brand new.,5.0 out of 5 stars
"The phone arrived in mint and perfect conditions, thank you so very much!!! 10/10 recommend.",5.0 out of 5 stars
"This is a very clean and nice phone just a few scratches on the back but nothing noticeable, it was unlocked worked with my carrier.",5.0 out of 5 stars
The phone came in two days and it’s works great!!!!!! Thank you!!!!,5.0 out of 5 stars
Great came exactly how I expected in perfect condition thanks to these guys definitely worth the buy guys I'm highly satisfied:),5.0 out of 5 stars
It's working very well till now,4.0 out of 5 stars
woks great - just like a new one,5.0 out of 5 stars
Great,5.0 out of 5 stars
Did not have an IMEI number so could not use it.,1.0 out of 5 stars
arrived in perfect conditions,5.0 out of 5 stars
Everything worked out perfect,5.0 out of 5 stars
The home button started to fail within the first week that I had the phone,1.0 out of 5 stars
"Good as new, love it.",5.0 out of 5 stars
Phone looks and works great!,5.0 out of 5 stars
GOOD,5.0 out of 5 stars
everything,5.0 out of 5 stars
Dope ... !,4.0 out of 5 stars
The title of the add said 6S plu 64GB. I bought it thinking that that was what I was going to get but instead got a 16gb phone. Very deceiving!!!,1.0 out of 5 stars
Had for almost two months and flawless great buy!,5.0 out of 5 stars
I bought this for my daughter and she loves it.  It came exactly as described and we had no issues switching her SIM card from her old android to this iPhone.  I plan on buying one for myself soon.,5.0 out of 5 stars
"Got it with overnight delivery, worked out for me very well. Phone works well.",5.0 out of 5 stars
Very Nice,5.0 out of 5 stars
One day of use and for now everything is as expected.,5.0 out of 5 stars
Phone came like new. No damage or scratches! Love it,5.0 out of 5 stars
"Great, I appreciated the terrific service.",5.0 out of 5 stars
"My husbands phone was stolen last week which is what prompted us to by this phone. We ordered it Friday and it arrive Wednesday through Amazon Prime... The phone looked great but once we got it activated with Verizon we realized the speakers were messed up when you play music, watch videos, your alarm goes off, or the phone rings. The sound is extremely distorted, hard to hear, and understand specially when having to talk on speak phone. Upset that the phone arrived like that. I know it’s refurbished but that should have been checked. After all we went through with having our original phone stolen it was just more added stress to receive a replacement with busted speakers.",2.0 out of 5 stars
I love it,5.0 out of 5 stars
Excelente.,5.0 out of 5 stars
"I was very skeptical purchasing a refurbished iPhone NOT from Apple, however it was in prestine condition and looked *almost* brand new when it arrived. Definitely would recommend.",4.0 out of 5 stars
ok,5.0 out of 5 stars
https://www.amazon.com/gp/product/B072BQ2ZMQ/ref=oh_aui_detailpage_o03_s00?ie=UTF8&psc=1,1.0 out of 5 stars
Great product I am very happy with it.... came on time and was packaged very well... The phone works and looks like it's brand new not a scratch on it....  Activation was easy and painless no problem... Only thing is does not come wit headphones or original iPhone charger but who cares bout that...... I would most definitely recommend this product to anyone who wants a iPhone.... Thank u Amazon......,5.0 out of 5 stars
Just as advertised! Been going strong no defects will buy from this seller in the future! Trusted SELLER!,5.0 out of 5 stars
Arrived in like new condition. Connected my network with no problems,5.0 out of 5 stars
"Phone arrived on time in factory condition. Not a single scratch on it. So far the phone performs perfectly, I haven't experienced any issues. Screen resolution is amazing, much better than the iPhone 6 that I had previously, or at least it seems like it. I would highly recommend!",5.0 out of 5 stars
The screen keeps jumping like it's been replaced before incorrectly,3.0 out of 5 stars
"Everything worked as promised, Little bit of scratches on the back but 100% functional, camera 10/10 , screen 9/10 , battery 10/10 ,It came on a envelope from local mail but with not problem at all , looking forward for an ipad of this guys !!! - Vius - , thanks again !",5.0 out of 5 stars
Just got my phone in the mail yesterday. I have not one complaint so far. The phone is excellent condition. Works great and was super easy to set up. Package was delivered promptly and came within the time frame I was given. Currently writing this review on the purchased device. If necessary I would definitely purchase again!! Thanks Amazon!!,5.0 out of 5 stars
Amazing!!! My iPhone came with absolutely no scratches and no damages it looks brand new it also came with the charger and headphones. Worth the $430,5.0 out of 5 stars
"Came in a box with little protection for the phone. The phone also displayed poor battery life early on in my ownership and had a few scratches on the screen. However, it beats the monthly phone payment plan provided by the company. So I do not regret my purchase.",3.0 out of 5 stars
"Phone arrived as promised.  Could not tell it was a reconditioned phone. Activated it with the carrier, and they are porting over the old number as we speak.Could not be more pleased",5.0 out of 5 stars
"Absolutely OK. Looks like new, no signs of a previous use. Works OK. I like it.",5.0 out of 5 stars
GREAT PRODUCT,5.0 out of 5 stars
